name,totals,nums,channel,Brand
光泉莓果穀物脆片鮮奶,801300,"17,758",好市多,光泉
光泉莓果穀物脆片,376408,"4,646",好市多,福樂
光泉莓果穀物脆片鮮奶優格,139088,"3,064",好市多,光泉
【家樂氏】纖穀脆早餐穀物脆片-豐富堅果、 超級莓果、嚴選果實、黑巧野莓 300g,129435,275,好市多,家樂氏
卡路里燕麥穀物,87253,956,好市多,卡路里
頂級鮮奶優酪-莓果穀物脆片130g*2[130g*2],76680,909,好市多,福樂
光泉頂級鮮奶優酪-莓果穀物脆片(4℃/130g),63280,"1,381",好市多,光泉
【家樂氏】纖穀脆早餐穀物脆片(4入組) 豐富堅果、 超級莓果、嚴選果實、黑巧野莓 300g,42090,54,好市多,家樂氏
FUCHS 福紅綜合水果穀物脆片 3,39200,82,好市多,福紅
燕麥穀物棒250g,31286,341,好市多,福樂
天天出貨【Granola House 小麥的家 纖脆 燕麥棒】 穀物棒 膳食纖維 飽足感,30449,39,好市多,Granola House
義美芝麻燕麥多穀物蘇打餅乾270g/盒[270g/盒],29436,399,好市多,義美
芝麻燕麥多穀物,28443,753,好市多,福樂
卡路里燕麥穀物棒250g/袋[250g/袋],24601,272,好市多,卡路里
FUCHS 福紅紅蘋果穀物脆片 35,21700,58,好市多,福紅
福紅綜合水果穀物脆片,21700,58,好市多,福紅
【盒裝】歐洲進口 雀巢 纖怡巧克力穀物棒 可可脆片穀物棒 玉米脆片穀物棒 早餐棒 燕麥 穀物 小麥 巧克力 可可,20081,56,好市多,雀巢
【免運費】MYPROTEIN 盒裝 高蛋白棒 蛋白點心 營養棒 乳清蛋白 高蛋白點心 燕麥棒 穀物棒 脆米棒 烘焙餅乾,18990,10,好市多,福樂
福紅紅蘋果穀物脆片,17789,50,好市多,福紅
雀巢穀物棒25g-可可脆片,17398,509,好市多,福樂
紅蘋果穀物脆片,15999,53,好市多,福樂
Granola House 小麥的家 纖脆燕麥棒 穀物棒 膳食纖維 燕麥 運動 熱量 飽足感,13815,96,好市多,Granola House
Fuchs紅蘋果穀物脆片350g,12950,35,好市多,福紅
【Amazin graze】堅果穀物燕麥脆片-榛果巧克力250gx1入,11985,40,好市多,Amazin graze
家樂氏可可力350g早餐穀物脆片 買兩包送贈品,10538,33,好市多,家樂氏
9555865600014Amazin graze堅果穀物燕麥脆片250g-藍莓枸杞口味(高纖、非油炸),10080,15,好市多,Amazin graze
家樂氏Special K香脆麥米片早餐穀物脆片-藍莓杏仁 costco 好市多熱銷款,10071,43,好市多,家樂氏
【Amazin graze】堅果穀物燕麥脆片-藍莓枸杞250gx1入,10024,38,好市多,Amazin graze
義美 芝麻燕麥多穀物蘇打餅乾270g,9804,87,全聯,福樂
AMAZIN' GRAZE 堅果穀物燕麥脆片-藍莓枸杞250g,8400,23,全聯,Amazin graze
Fuchs福紅蘋果穀物脆片,8340,26,全聯,福紅
日清宇治抹茶綜合水果穀物脆片,8004,31,全聯,日清
光泉頂級鮮奶優酪莓果穀物脆片 130g*2,7378,82,全聯,光泉
