name,totals,nums,channel
光泉莓果穀物脆片鮮奶,"801,300","17,758",好市多
光泉莓果穀物脆片,"376,408","4,646",好市多
光泉莓果穀物脆片鮮奶優格,"139,088","3,064",好市多
光泉頂級鮮奶優酪-莓果穀物脆片(4℃/130g),"63,280","1,381",好市多
卡路里燕麥穀物,"87,253",956,好市多
頂級鮮奶優酪-莓果穀物脆片130g*2[130g*2],"76,680",909,好市多
芝麻燕麥多穀物,"28,443",753,好市多
雀巢穀物棒25g-可可脆片,"17,398",509,好市多
義美芝麻燕麥多穀物蘇打餅乾270g/盒[270g/盒],"29,436",399,好市多
燕麥穀物棒250g,"31,286",341,好市多
【家樂氏】纖穀脆早餐穀物脆片-豐富堅果、 超級莓果、嚴選果實、黑巧野莓 300g,"129,435",275,好市多
卡路里燕麥穀物棒250g/袋[250g/袋],"24,601",272,好市多
日清焦糖穀物麥片,"34,765",165,好市多
雀巢穀物棒20g-玉米脆片,"5,482",148,全聯
家樂氏 早餐穀物脆片 格格脆/可可球/玉米片/可可片/香果圈/香蕉玉米片 麥片 九款任選 蝦皮直送,"22,626",96,好市多
Granola House 小麥的家 纖脆燕麥棒 穀物棒 膳食纖維 燕麥 運動 熱量 飽足感,"13,815",96,好市多
義美 芝麻燕麥多穀物蘇打餅乾270g,"9,804",87,全聯
FUCHS 福紅綜合水果穀物脆片 3,"39,200",82,好市多
光泉頂級鮮奶優酪莓果穀物脆片 130g*2,"7,378",82,全聯
光泉頂級鮮奶優酪-莓果穀物脆片130,"3,627",81,7-11
【北港農友】即時燕麥片，熟食燕麥片穀物，沖泡燕麥片，大燕麥片 / 小燕麥片 都有，600g,"8,820",68,全聯
大頭叔叔 穀物水果麥片/栗香紫薯,"194,580",67,好市多
代收代付 - GRANOLA HOUSE 燕麥棒 32g/支 穀物 營養 運動 低熱量 低卡 蔓越莓,"1,817",61,momo
FUCHS 福紅紅蘋果穀物脆片 35,"21,700",58,好市多
福紅綜合水果穀物脆片,"21,700",58,好市多
498936@卡路里燕麥穀物棒 250G,"5,692",58,全聯
光泉P130頂級鮮奶優酪-莓果穀物脆片130g,"2,692",58,全家
【盒裝】歐洲進口 雀巢 纖怡巧克力穀物棒 可可脆片穀物棒 玉米脆片穀物棒 早餐棒 燕麥 穀物 小麥 巧克力 可可,"20,081",56,好市多
[荷蘭 Jason] 捷森 奇亞籽穀物麥片(500g/包),"7,441",55,全聯
【家樂氏】纖穀脆早餐穀物脆片(4入組) 豐富堅果、 超級莓果、嚴選果實、黑巧野莓 300g,"42,090",54,好市多
紅蘋果穀物脆片,"15,999",53,好市多
[瑞典 AXA] 巧克力堅果穀物麥片 (375g/盒),"15,576",53,好市多
POST 燕麥 多穀物 早餐 麥片 水果 草莓 無糖 藍莓 杏仁 香蕉 堅果 胡桃 蔓越莓 小紅莓 蜂蜜 穀片,"19,954",51,好市多
福紅紅蘋果穀物脆片,"17,789",50,好市多
脆妮妮 寶寶餅乾 磨牙棒 低鈉牛奶 藜麥 燕麥 多穀物 美好人生 金箍點心棒 磨牙餅乾 副食品 0860,"7,132",48,全聯
喜瑞爾 早餐穀物麥片 喜瑞爾香甜玉米脆片185g、草莓脆片185g、巧克力脆片185g、五彩球160g,"6,987",44,全聯
卡路里燕麥穀物棒,"3,829",44,7-11
家樂氏Special K香脆麥米片早餐穀物脆片-藍莓杏仁 costco 好市多熱銷款,"10,071",43,好市多
【Amazin graze】堅果穀物燕麥脆片-榛果巧克力250gx1入,"11,985",40,好市多
[荷蘭 Jason傑森] 六種穀物麥片 (500g/包),"7,816",40,全聯
天天出貨【Granola House 小麥的家 纖脆 燕麥棒】 穀物棒 膳食纖維 飽足感,"30,449",39,好市多
【Amazin graze】堅果穀物燕麥脆片-藍莓枸杞250gx1入,"10,024",38,好市多
義美芝麻燕麥多穀物蘇打135g,"1,989",37,momo
【卡路里】燕麥穀物棒 250g/袋(天然穀物棒富含多種天然營養),"7,331",36,全聯
Fuchs紅蘋果穀物脆片350g,"12,950",35,好市多
日清 綜合水果穀物脆 豐盛果實 宇治抹茶 楓糖果實 nissin 香港 脆片 麥片 穀物 500g,"12,368",34,好市多
家樂氏可可力350g早餐穀物脆片 買兩包送贈品,"10,538",33,好市多
頂級鮮奶優格－莓果穀物脆片,"1,438",33,momo
【樂扣樂扣】2way元氣穀物樂活杯(麥片、牛奶、防漏),"8,683",32,全聯
[瑞士全家] 蜂蜜草莓綜合穀物早餐麥片 (500g/包),"7,807",32,全聯
舞味本舖 日清 日清麥片 穀物 堅果巧克力味麥片,"7,451",32,全聯
[瑞典 AXA] 亞麻籽莓果穀物麥片 (375g/盒),"7,175",32,全聯
日清宇治抹茶綜合水果穀物脆片,"8,004",31,全聯
[瑞士全家] 巧克力綜合穀物早餐麥片 (500g/包),"7,199",31,全聯
光泉 頂級鮮奶優酪莓果穀物脆片 130gx2入,"2,646",31,全家
代收-Calorie卡路里-燕麥穀物棒250g,"2,489",31,全家
脆妮妮 寶寶餅乾 磨牙棒 低鈉牛奶 低鈉藜麥 燕麥 多穀物 牛奶磨牙餅 0860 副食品 Nutrinini,"4,060",30,7-11
世界GO 日本 日清シスコーン BIG 早餐片 早餐玉米片 麵包造型穀物麥片 巧克力圈圈 玉米脆片 可可 楓糖 日清麥片,"5,114",29,7-11
家樂氏 早餐穀物脆片 格格脆/可可球/玉米片/可可片/香果圈/香蕉玉米片 麥片 九款任選 蝦皮直送 (部分即期),"6,370",28,全聯
雀巢 可可脆片穀物棒 美祿穀物棒 纖怡穀物棒 玉米脆片穀物棒 點心隨身包  可可脆片 巧克力穀物棒,"6,194",27,全聯
CARMAN’S綜合莓果穀物麥片 5,"6,183",27,全聯
Fuchs福紅蘋果穀物脆片,"8,340",26,全聯
光泉頂級鮮奶優酪苺果穀物脆片130g(2入),"2,108",26,全家
光泉頂級鮮奶優酪苺果穀物脆片130g(單罐),"1,049",26,momo
【Fuchs福紅】綜合水果穀物脆片/野莓穀麥片/蘋果燕麥片/紅蘋果穀物脆片任選x2包,"15,832",25,好市多
天然谷 燕麥棒 市價29元?Nature Valley  蜂蜜 單包販售 穀物棒 好市多［ 蝦皮團購 ］,"3,915",24,7-11
AMAZIN' GRAZE 堅果穀物燕麥脆片-藍莓枸杞250g,"8,400",23,全聯
【家樂氏】纖穀脆早餐穀物脆片-豐富堅果、 超級莓果、嚴選果實、黑巧野莓 330g,"6,784",23,全聯
[瑞典 AXA] 綜合莓果穀物麥片 (270g/包) (奶素,"5,792",23,全聯
熱銷可刷卡秒出貨?公司貨有發票? 綜合纖脆燕麥棒 雀巢纖怡草莓穀物棒 天然谷綜合燕麥棒 營養棒,"4,262",23,7-11
光泉莓果穀物脆片優格130g,"1,008",23,momo
?【全口味‼️E發票】天然谷 燕麥棒 市價29元?Nature Valley  三種口味 單包販售 穀物棒 好市多,"4,302",22,7-11
Daily Boost 紫薯山藥穀物麥片[200g],"2,288",22,全家
頂級鮮奶優酪-莓果穀物脆片130g*2#223128,"2,840",21,全家
【單支】歐洲進口 雀巢 纖怡巧克力穀物棒 可可脆片穀物棒 玉米脆片穀物棒 早餐棒 燕麥 穀物 小麥 巧克力 可可,"2,026",21,momo
【Amazin graze】堅果穀物燕麥脆片-椰糖250gx1入,"5,222",20,7-11
AMAZIN' GRAZE 堅果穀物燕麥片-粉紅莓果40gx6包(沖泡式),"8,120",19,全聯
[瑞典 AXA] 莓果優格穀物麥片 (320g/包) (奶素,"5,143",19,7-11
【家樂氏】Special K香脆麥米片早餐穀物脆片-藍莓杏仁 costco 好市多熱銷款,"4,573",19,7-11
光泉頂級鮮奶優酪莓果穀物脆片130g,792,19,momo
雀巢 纖怡穀物棒23.5g 16入(盒) 點心隨身包 可可脆片 巧克力穀物棒,"7,185",18,全聯
桂格 經典大燕麥片 750g*4包/盒 麥片 穀物 燕麥 早餐 點心 下午茶 宵夜 沖泡飲品 充滿嚼勁Q彈好吃 桂格燕麥,"5,922",18,全聯
Amazin graze堅果穀物燕麥脆片250g-榛果巧克力口味(高纖、非油炸),"4,525",18,7-11
日清豐盛果實綜合水果穀物脆片,"4,230",18,7-11
[大量現貨] 雀巢纖怡草莓穀物棒 天然谷 綜合口味燕麥棒 天然谷穀物棒  COSTCO 好市多 雀巢 Fitnesse,"2,402",18,全家
【澳洲Carmans】綜合莓果穀物燕麥片(500g/盒),"4,594",17,7-11
【Amazin graze】堅果穀物燕麥脆片-香蕉蜂蜜250gx1入,"4,340",17,7-11
[瑞士全家] 無加糖水果綜合穀物早餐麥片 (500g/包),"3,659",17,7-11
雀巢 可可脆片穀物棒25g*6入 最新效期 可可脆片 穀物棒,"3,561",17,7-11
AMAZIN' GRAZE 堅果穀物燕麥脆片-榛果巧克力250g,"6,160",16,全聯
AMAZIN' GRAZE 堅果穀物燕麥脆片-香蕉蜂蜜250g,"5,600",16,全聯
amazin’graze堅果穀物燕麥脆片/ 榛果巧克力,"4,760",16,7-11
[瑞典 AXA] 綜合水果堅果穀物麥片 (375g/盒),"4,177",16,7-11
JASON六種穀物麥片 500G,"3,000",16,全家
Daily Boost 日卜力 穀物麥片 蔓越莓什錦/紫薯山藥/綜合莓果 多款可選200g/盒 蝦皮直送 現貨,"2,032",16,momo
9555865600014Amazin graze堅果穀物燕麥脆片250g-藍莓枸杞口味(高纖、非油炸),"10,080",15,好市多
9555865600007Amazin graze堅果穀物燕麥脆片250g-榛果巧克力口味(高纖、非油炸),"4,516",15,7-11
【Amazin graze】沖泡式堅果穀物燕麥片-粉紅莓果(40gx6包/盒),"3,696",15,7-11
現貨 日清NISSIN日清水果穀物麥片日清穀片 日清水果麥片 麥片 穀物麥片 水果麥片 草莓麥片 水果麥片日本麥片 餅乾,"5,500",14,全聯
捷森穀物麥片,"2,100",14,momo
穀物脆片150g,"1,990",14,momo
光泉-頂級鮮奶優格-莓果穀物脆片,742,14,momo
光泉 頂級鮮乳優酪-莓果穀物脆片130g,490,14,momo
JASON奇亞籽穀物麥片 500G,"2,850",13,全家
K-(杏)格蘭諾拉巧克力穀物麥片30g,"1,420",13,momo
卡路里-燕麥穀物棒 250g,"1,206",13,momo
Calorie卡路里-燕麥穀物棒250g,614,13,momo
芝麻燕麥多穀物蘇打133g,495,13,momo
【免運+發票】 桂格 雪乳莓莓375G 即食水果麥片 穀物麥脆果  營養早餐 桂格麥片 穀物 酸奶 安幕希 桂格 麥片,"5,745",12,全聯
Fuchs福紅綜合水果穀物脆片,"4,306",12,7-11
[瑞典 AXA] 熱帶水果穀物麥片 (375g/盒),"4,086",12,7-11
纖脆穀物烤麥片 - 盒裝,"3,780",12,7-11
amazin’graze堅果穀物燕麥脆片/ 藍苺枸杞,"3,360",12,7-11
樂扣樂扣LocknLock  2way元氣穀物樂活杯 [現貨] 麥片牛奶隨身杯 雙層麥片穀物杯 零食罐 優格杯 沙拉保鮮,"2,931",12,全家
日清 香港版香甜草莓穀物麥片 400g,"1,977",12,momo
捷森奇亞籽穀物麥片,"1,800",12,momo
【2歲生日慶】纖脆穀物烤麥片,"8,100",11,全聯
日清 綜合水果穀物脆 豐盛果實 宇治抹茶 楓糖果實 nissin 香港 脆片 麥片 穀物,"5,219",11,7-11
POST 無糖 麥麩 格格脆 510g 不含莓果 無調味 燕麥 多穀物 早餐 麥片 脆片 穀片 穀物,"4,796",11,7-11
【The Chala 蕎拉燕麥】裸食燕麥脆片4口味任選 230g/包(素食零食/早餐麥片/大燕麥片/堅果穀物),"3,680",11,7-11
[澳洲 Carman’s] 綜合莓果穀物燕麥片 (500g/盒),"2,169",11,全家
卡路里 燕麥穀物棒 250g 蝦皮直送 現貨,"1,157",11,momo
澳洲燕麥（已殺菌處理）/鸚鵡飼料/單一穀物,730,11,momo
頂級鮮奶優酪莓果穀物脆片,525,11,momo
【免運費】MYPROTEIN 盒裝 高蛋白棒 蛋白點心 營養棒 乳清蛋白 高蛋白點心 燕麥棒 穀物棒 脆米棒 烘焙餅乾,"18,990",10,好市多
#905 豌豆&小麥蛋白綜合穀物麥片＜可可口味＞(454g/包) [德國Seitenbacher],"4,654",10,7-11
Amazin graze堅果穀物燕麥脆片250g-藍莓枸杞口味(高纖、非油炸),"4,273",10,7-11
奧地利Verival綜合莓果穀物麥片,"3,300",10,全家
雀巢 可可脆片穀物棒25g 6入 最新效期 可可脆片 穀物棒 點心,"2,278",10,全家
日清-豐盛果實綜合水果穀物脆片,"2,202",10,全家
Jason捷森-奇亞籽穀物麥片 500g,"1,815",10,momo
【即期品 Jason捷森】捷森早餐穀物麥片五種水果/六種穀物任選500gx1入(六種穀物效期:2022/6/18),"1,323",10,momo
頂級鮮奶優酪(莓果穀物脆片) #223128,943,10,momo
有供電子發票.超好吃紐西蘭燕麥棒Mother Earth 烘培燕麥棒 穀物·水果·奶油8種口味選擇(可混搭)現貨,"5,237",9,7-11
AMAZIN' GRAZE 堅果穀物燕麥脆片-椰糖250g,"3,920",9,7-11
[Verival費里歐] 多種穀物亞麻籽燕麥片 (500g/,"3,237",9,全家
附發票 日本 日清シスコーン BIG 早餐片 早餐玉米片 麵包造型穀物麥片 巧克力圈圈 玉米脆片 可可 楓糖 日清麥片,"1,700",9,momo
COSTCO代購 天然谷/綜合纖脆燕麥棒/草莓穀物棒/黑巧克力風味堅果棒,"1,642",9,momo
捷森-六種穀物麥片,"1,350",9,momo
鮮奶優酪-莓果穀物脆片2入,897,9,momo
【雀巢】早餐穀物棒3入盒裝 可可脆片穀物棒/纖怡巧克力穀物棒,735,9,momo
義美芝麻燕麥多穀物蘇打餅(量)  270g,724,9,momo
amazin’graze堅果穀物燕麥脆片/ 香蕉蜂蜜/ 40,630,9,momo
歐洲進口 雀巢 纖怡巧克力穀物棒 可可脆片穀物棒 玉米脆片穀物棒 早餐棒 燕麥 穀物 小麥 巧克力 可可,427,9,momo
堅果穀物藜麥片,"6,702",8,全聯
